Age,Age_Band ,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,DistanceFromHome_Band,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,HourlyRate_Band,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome_Band,MonthlyRate,NumCompaniesWorked,NumCompaniesWorked_Band,Over18,OverTime,PercentSalaryHike,PercentSalaryHike_Band,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TotalWorkingYears_Band,TrainingTimesLastYear,TrainingTimesLastYear_Band,WorkLifeBalance,YearsAtCompany,YearsAtCompany_Band,YearsInCurrentRole,YearsInCurrentRole_Band,YearsSinceLastPromotion,YearsSinceLastPromotion_Band,YearsWithCurrManager,YearsWithCurrManager_Band
36,31-40 yrs old,Yes,Travel_Rarely,530,Sales,3,0-10KM,1,Life Sciences,1,967,3,Male,51,RM31-RM60,2,3,Sales Executive,4,Married,10325,RM10001-RM15000,5518,1,0-2,Y,Yes,11,11-15%,3,1,80,1,16,>9 years,6,>5 hours,3,16,>9 years,7,7-9 years,3,0-3 years,7,7-9 years
33,31-40 yrs old,No,Travel_Rarely,1069,Research & Development,1,0-10KM,3,Life Sciences,1,969,2,Female,42,RM31-RM60,2,2,Healthcare Representative,4,Single,6949,RM5001-RM10000,12291,0,0-2,Y,No,14,11-15%,3,1,80,0,6,4-6 years,3,3-5 hours,3,5,4-6 years,0,0-3 years,1,0-3 years,4,4-6 years
37,31-40 yrs old,Yes,Travel_Rarely,625,Sales,1,0-10KM,4,Life Sciences,1,970,1,Male,46,RM31-RM60,2,3,Sales Executive,3,Married,10609,RM10001-RM15000,14922,5,3-5,Y,No,11,11-15%,3,3,80,0,17,>9 years,2,0-2 hours,1,14,>9 years,1,0-3 years,11,>9 years,7,7-9 years
45,41-50 yrs old,No,Non-Travel,805,Research & Development,4,0-10KM,2,Life Sciences,1,972,3,Male,57,RM31-RM60,3,2,Laboratory Technician,2,Married,4447,RM0-RM5000,23163,1,0-2,Y,No,12,11-15%,3,2,80,0,9,7-9 years,5,3-5 hours,2,9,7-9 years,7,7-9 years,0,0-3 years,8,7-9 years
29,21-30 yrs old,No,Travel_Frequently,1404,Sales,20,11-20KM,3,Technical Degree,1,974,3,Female,84,RM61-RM90,3,1,Sales Representative,4,Married,2157,RM0-RM5000,18203,1,0-2,Y,No,15,11-15%,3,2,80,1,3,0-3 years,5,3-5 hours,3,3,0-3 years,1,0-3 years,0,0-3 years,2,0-3 years
35,31-40 yrs old,No,Travel_Rarely,1219,Sales,18,11-20KM,3,Medical,1,975,3,Female,86,RM61-RM90,3,2,Sales Executive,3,Married,4601,RM0-RM5000,6179,1,0-2,Y,No,16,16-20%,3,2,80,0,5,4-6 years,3,3-5 hours,3,5,4-6 years,2,0-3 years,1,0-3 years,0,0-3 years
52,>50 yrs old,No,Travel_Rarely,1053,Research & Development,1,0-10KM,2,Life Sciences,1,976,4,Male,70,RM61-RM90,3,4,Manager,4,Married,17099,>RM15000,13829,2,0-2,Y,No,15,11-15%,3,2,80,1,26,>9 years,2,0-2 hours,2,9,7-9 years,8,7-9 years,7,7-9 years,8,7-9 years
58,>50 yrs old,Yes,Travel_Rarely,289,Research & Development,2,0-10KM,3,Technical Degree,1,977,4,Male,51,RM31-RM60,3,1,Research Scientist,3,Single,2479,RM0-RM5000,26227,4,3-5,Y,No,24,>20%,4,1,80,0,7,7-9 years,4,3-5 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
53,>50 yrs old,No,Travel_Rarely,1376,Sales,2,0-10KM,2,Medical,1,981,3,Male,45,RM31-RM60,3,4,Manager,3,Divorced,14852,RM10001-RM15000,13938,6,>5,Y,No,13,11-15%,3,3,80,1,22,>9 years,3,3-5 hours,4,17,>9 years,13,>9 years,15,>9 years,2,0-3 years
30,21-30 yrs old,No,Travel_Rarely,231,Sales,8,0-10KM,2,Other,1,982,3,Male,62,RM61-RM90,3,3,Sales Executive,3,Divorced,7264,RM5001-RM10000,9977,5,3-5,Y,No,11,11-15%,3,1,80,1,10,>9 years,2,0-2 hours,4,8,7-9 years,4,4-6 years,7,7-9 years,7,7-9 years
38,31-40 yrs old,No,Non-Travel,152,Sales,10,0-10KM,3,Technical Degree,1,983,3,Female,85,RM61-RM90,3,2,Sales Executive,4,Single,5666,RM5001-RM10000,19899,1,0-2,Y,Yes,13,11-15%,3,2,80,0,6,4-6 years,1,0-2 hours,3,5,4-6 years,3,0-3 years,1,0-3 years,3,0-3 years
35,31-40 yrs old,No,Travel_Rarely,882,Sales,3,0-10KM,4,Life Sciences,1,984,4,Male,92,>RM90,3,3,Sales Executive,4,Divorced,7823,RM5001-RM10000,6812,6,>5,Y,No,13,11-15%,3,2,80,1,12,>9 years,2,0-2 hours,3,10,>9 years,9,7-9 years,0,0-3 years,8,7-9 years
39,31-40 yrs old,No,Travel_Rarely,903,Sales,2,0-10KM,5,Life Sciences,1,985,1,Male,41,RM31-RM60,4,3,Sales Executive,3,Single,7880,RM5001-RM10000,2560,0,0-2,Y,No,18,16-20%,3,4,80,0,9,7-9 years,3,3-5 hours,3,8,7-9 years,7,7-9 years,0,0-3 years,7,7-9 years
40,31-40 yrs old,Yes,Non-Travel,1479,Sales,24,>20KM,3,Life Sciences,1,986,2,Female,100,>RM90,4,4,Sales Executive,2,Single,13194,RM10001-RM15000,17071,4,3-5,Y,Yes,16,16-20%,3,4,80,0,22,>9 years,2,0-2 hours,2,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
47,41-50 yrs old,No,Travel_Frequently,1379,Research & Development,16,11-20KM,4,Medical,1,987,3,Male,64,RM61-RM90,4,2,Manufacturing Director,3,Divorced,5067,RM5001-RM10000,6759,1,0-2,Y,Yes,19,16-20%,3,3,80,0,20,>9 years,3,3-5 hours,4,19,>9 years,10,>9 years,2,0-3 years,7,7-9 years
36,31-40 yrs old,No,Non-Travel,1229,Sales,8,0-10KM,4,Technical Degree,1,990,1,Male,84,RM61-RM90,3,2,Sales Executive,4,Divorced,5079,RM5001-RM10000,25952,4,3-5,Y,No,13,11-15%,3,4,80,2,12,>9 years,3,3-5 hours,3,7,7-9 years,7,7-9 years,0,0-3 years,7,7-9 years
31,31-40 yrs old,Yes,Non-Travel,335,Research & Development,9,0-10KM,2,Medical,1,991,3,Male,46,RM31-RM60,2,1,Research Scientist,1,Single,2321,RM0-RM5000,10322,0,0-2,Y,Yes,22,>20%,4,1,80,0,4,4-6 years,0,0-2 hours,3,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
33,31-40 yrs old,No,Non-Travel,722,Sales,17,11-20KM,3,Life Sciences,1,992,4,Male,38,RM31-RM60,3,4,Manager,3,Single,17444,>RM15000,20489,1,0-2,Y,No,11,11-15%,3,4,80,0,10,>9 years,2,0-2 hours,3,10,>9 years,8,7-9 years,6,4-6 years,0,0-3 years
29,21-30 yrs old,Yes,Travel_Rarely,906,Research & Development,10,0-10KM,3,Life Sciences,1,994,4,Female,92,>RM90,2,1,Research Scientist,1,Single,2404,RM0-RM5000,11479,6,>5,Y,Yes,20,16-20%,4,3,80,0,3,0-3 years,5,3-5 hours,3,0,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
33,31-40 yrs old,No,Travel_Rarely,461,Research & Development,13,11-20KM,1,Life Sciences,1,995,2,Female,53,RM31-RM60,3,1,Research Scientist,4,Single,3452,RM0-RM5000,17241,3,3-5,Y,No,18,16-20%,3,1,80,0,5,4-6 years,4,3-5 hours,3,3,0-3 years,2,0-3 years,0,0-3 years,2,0-3 years
45,41-50 yrs old,No,Travel_Rarely,974,Research & Development,1,0-10KM,4,Medical,1,996,4,Female,91,>RM90,3,1,Laboratory Technician,4,Divorced,2270,RM0-RM5000,11005,3,3-5,Y,No,14,11-15%,3,4,80,2,8,7-9 years,2,0-2 hours,3,5,4-6 years,3,0-3 years,0,0-3 years,2,0-3 years
50,41-50 yrs old,No,Travel_Rarely,1126,Research & Development,1,0-10KM,2,Medical,1,997,4,Male,66,RM61-RM90,3,4,Research Director,4,Divorced,17399,>RM15000,6615,9,>5,Y,No,22,>20%,4,3,80,1,32,>9 years,1,0-2 hours,2,5,4-6 years,4,4-6 years,1,0-3 years,3,0-3 years
33,31-40 yrs old,No,Travel_Frequently,827,Research & Development,1,0-10KM,4,Other,1,998,3,Female,84,RM61-RM90,4,2,Healthcare Representative,2,Married,5488,RM5001-RM10000,20161,1,0-2,Y,Yes,13,11-15%,3,1,80,1,6,4-6 years,2,0-2 hours,3,6,4-6 years,5,4-6 years,1,0-3 years,2,0-3 years
41,41-50 yrs old,No,Travel_Frequently,840,Research & Development,9,0-10KM,3,Medical,1,999,1,Male,64,RM61-RM90,3,5,Research Director,3,Divorced,19419,>RM15000,3735,2,0-2,Y,No,17,16-20%,3,2,80,1,21,>9 years,2,0-2 hours,4,18,>9 years,16,>9 years,0,0-3 years,11,>9 years
27,21-30 yrs old,No,Travel_Rarely,1134,Research & Development,16,11-20KM,4,Technical Degree,1,1001,3,Female,37,RM31-RM60,3,1,Laboratory Technician,2,Married,2811,RM0-RM5000,12086,9,>5,Y,No,14,11-15%,3,2,80,1,4,4-6 years,2,0-2 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
45,41-50 yrs old,No,Non-Travel,248,Research & Development,23,>20KM,2,Life Sciences,1,1002,4,Male,42,RM31-RM60,3,2,Laboratory Technician,1,Married,3633,RM0-RM5000,14039,1,0-2,Y,Yes,15,11-15%,3,3,80,1,9,7-9 years,2,0-2 hours,3,9,7-9 years,8,7-9 years,0,0-3 years,8,7-9 years
47,41-50 yrs old,No,Travel_Rarely,955,Sales,4,0-10KM,2,Life Sciences,1,1003,4,Female,83,RM61-RM90,3,2,Sales Executive,4,Single,4163,RM0-RM5000,8571,1,0-2,Y,Yes,17,16-20%,3,3,80,0,9,7-9 years,0,0-2 hours,3,9,7-9 years,0,0-3 years,0,0-3 years,7,7-9 years
30,21-30 yrs old,Yes,Travel_Rarely,138,Research & Development,22,>20KM,3,Life Sciences,1,1004,1,Female,48,RM31-RM60,3,1,Research Scientist,3,Married,2132,RM0-RM5000,11539,4,3-5,Y,Yes,11,11-15%,3,2,80,0,7,7-9 years,2,0-2 hours,3,5,4-6 years,2,0-3 years,0,0-3 years,1,0-3 years
50,41-50 yrs old,No,Travel_Rarely,939,Research & Development,24,>20KM,3,Life Sciences,1,1005,4,Male,95,>RM90,3,4,Manufacturing Director,3,Married,13973,RM10001-RM15000,4161,3,3-5,Y,Yes,18,16-20%,3,4,80,1,22,>9 years,2,0-2 hours,3,12,>9 years,11,>9 years,1,0-3 years,5,4-6 years
38,31-40 yrs old,No,Travel_Frequently,1391,Research & Development,10,0-10KM,1,Medical,1,1006,3,Male,66,RM61-RM90,3,1,Research Scientist,3,Married,2684,RM0-RM5000,12127,0,0-2,Y,No,17,16-20%,3,2,80,1,3,0-3 years,0,0-2 hours,2,2,0-3 years,1,0-3 years,0,0-3 years,2,0-3 years
46,41-50 yrs old,No,Travel_Rarely,566,Research & Development,7,0-10KM,2,Medical,1,1007,4,Male,75,RM61-RM90,3,3,Manufacturing Director,3,Divorced,10845,RM10001-RM15000,24208,6,>5,Y,No,13,11-15%,3,2,80,1,13,>9 years,3,3-5 hours,3,8,7-9 years,7,7-9 years,0,0-3 years,7,7-9 years
24,21-30 yrs old,No,Travel_Rarely,1206,Research & Development,17,11-20KM,1,Medical,1,1009,4,Female,41,RM31-RM60,2,2,Manufacturing Director,3,Divorced,4377,RM0-RM5000,24117,1,0-2,Y,No,15,11-15%,3,2,80,2,5,4-6 years,6,>5 hours,3,4,4-6 years,2,0-3 years,3,0-3 years,2,0-3 years
35,31-40 yrs old,Yes,Travel_Rarely,622,Research & Development,14,11-20KM,4,Other,1,1010,3,Male,39,RM31-RM60,2,1,Laboratory Technician,2,Divorced,3743,RM0-RM5000,10074,1,0-2,Y,Yes,24,>20%,4,4,80,1,5,4-6 years,2,0-2 hours,1,4,4-6 years,2,0-3 years,0,0-3 years,2,0-3 years
31,31-40 yrs old,No,Travel_Frequently,853,Research & Development,1,0-10KM,1,Life Sciences,1,1011,3,Female,96,>RM90,3,2,Manufacturing Director,1,Married,4148,RM0-RM5000,11275,1,0-2,Y,No,12,11-15%,3,3,80,1,4,4-6 years,1,0-2 hours,3,4,4-6 years,3,0-3 years,0,0-3 years,3,0-3 years
18,<=20 yrs old,No,Non-Travel,287,Research & Development,5,0-10KM,2,Life Sciences,1,1012,2,Male,73,RM61-RM90,3,1,Research Scientist,4,Single,1051,RM0-RM5000,13493,1,0-2,Y,No,15,11-15%,3,4,80,0,0,0-3 years,2,0-2 hours,3,0,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
54,>50 yrs old,No,Travel_Rarely,1441,Research & Development,17,11-20KM,3,Technical Degree,1,1013,3,Female,56,RM31-RM60,3,3,Manufacturing Director,3,Married,10739,RM10001-RM15000,13943,8,>5,Y,No,11,11-15%,3,3,80,1,22,>9 years,2,0-2 hours,3,10,>9 years,7,7-9 years,0,0-3 years,8,7-9 years
35,31-40 yrs old,No,Travel_Rarely,583,Research & Development,25,>20KM,4,Medical,1,1014,3,Female,57,RM31-RM60,3,3,Healthcare Representative,3,Divorced,10388,RM10001-RM15000,6975,1,0-2,Y,Yes,11,11-15%,3,3,80,1,16,>9 years,3,3-5 hours,2,16,>9 years,10,>9 years,10,>9 years,1,0-3 years
30,21-30 yrs old,No,Travel_Rarely,153,Research & Development,8,0-10KM,2,Life Sciences,1,1015,2,Female,73,RM61-RM90,4,3,Research Director,1,Married,11416,RM10001-RM15000,17802,0,0-2,Y,Yes,12,11-15%,3,3,80,3,9,7-9 years,4,3-5 hours,2,8,7-9 years,7,7-9 years,1,0-3 years,7,7-9 years
20,<=20 yrs old,Yes,Travel_Rarely,1097,Research & Development,11,11-20KM,3,Medical,1,1016,4,Female,98,>RM90,2,1,Research Scientist,1,Single,2600,RM0-RM5000,18275,1,0-2,Y,Yes,15,11-15%,3,1,80,0,1,0-3 years,2,0-2 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
30,21-30 yrs old,Yes,Travel_Frequently,109,Research & Development,5,0-10KM,3,Medical,1,1017,2,Female,60,RM31-RM60,3,1,Laboratory Technician,2,Single,2422,RM0-RM5000,25725,0,0-2,Y,No,17,16-20%,3,1,80,0,4,4-6 years,3,3-5 hours,3,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
26,21-30 yrs old,No,Travel_Rarely,1066,Research & Development,2,0-10KM,2,Medical,1,1018,4,Male,32,RM31-RM60,4,2,Manufacturing Director,4,Married,5472,RM5001-RM10000,3334,1,0-2,Y,No,12,11-15%,3,2,80,0,8,7-9 years,2,0-2 hours,3,8,7-9 years,7,7-9 years,1,0-3 years,3,0-3 years
22,21-30 yrs old,No,Travel_Rarely,217,Research & Development,8,0-10KM,1,Life Sciences,1,1019,2,Male,94,>RM90,1,1,Laboratory Technician,1,Married,2451,RM0-RM5000,6881,1,0-2,Y,No,15,11-15%,3,1,80,1,4,4-6 years,3,3-5 hours,2,4,4-6 years,3,0-3 years,1,0-3 years,1,0-3 years
48,41-50 yrs old,No,Travel_Rarely,277,Research & Development,6,0-10KM,3,Life Sciences,1,1022,1,Male,97,>RM90,2,2,Healthcare Representative,3,Single,4240,RM0-RM5000,13119,2,0-2,Y,No,13,11-15%,3,4,80,0,19,>9 years,0,0-2 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
48,41-50 yrs old,No,Travel_Rarely,1355,Research & Development,4,0-10KM,4,Life Sciences,1,1024,3,Male,78,RM61-RM90,2,3,Healthcare Representative,3,Single,10999,RM10001-RM15000,22245,7,>5,Y,No,14,11-15%,3,2,80,0,27,>9 years,3,3-5 hours,3,15,>9 years,11,>9 years,4,4-6 years,8,7-9 years
41,41-50 yrs old,No,Travel_Rarely,549,Research & Development,7,0-10KM,2,Medical,1,1025,4,Female,42,RM31-RM60,3,2,Manufacturing Director,3,Single,5003,RM5001-RM10000,23371,6,>5,Y,No,14,11-15%,3,2,80,0,8,7-9 years,6,>5 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,1,0-3 years
39,31-40 yrs old,No,Travel_Rarely,466,Research & Development,1,0-10KM,1,Life Sciences,1,1026,4,Female,65,RM61-RM90,2,4,Manufacturing Director,4,Married,12742,RM10001-RM15000,7060,1,0-2,Y,No,16,16-20%,3,3,80,1,21,>9 years,3,3-5 hours,3,21,>9 years,6,4-6 years,11,>9 years,8,7-9 years
27,21-30 yrs old,No,Travel_Rarely,1055,Research & Development,2,0-10KM,4,Life Sciences,1,1027,1,Female,47,RM31-RM60,3,2,Manufacturing Director,4,Married,4227,RM0-RM5000,4658,0,0-2,Y,No,18,16-20%,3,2,80,1,4,4-6 years,2,0-2 hours,3,3,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
35,31-40 yrs old,No,Travel_Rarely,802,Research & Development,10,0-10KM,3,Other,1,1028,2,Male,45,RM31-RM60,3,1,Laboratory Technician,4,Divorced,3917,RM0-RM5000,9541,1,0-2,Y,No,20,16-20%,4,1,80,1,3,0-3 years,4,3-5 hours,2,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
42,41-50 yrs old,No,Travel_Rarely,265,Sales,5,0-10KM,2,Marketing,1,1029,4,Male,90,RM61-RM90,3,5,Manager,3,Married,18303,>RM15000,7770,6,>5,Y,No,13,11-15%,3,2,80,0,21,>9 years,3,3-5 hours,4,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
50,41-50 yrs old,No,Travel_Rarely,804,Research & Development,9,0-10KM,3,Life Sciences,1,1030,1,Male,64,RM61-RM90,3,1,Laboratory Technician,4,Married,2380,RM0-RM5000,20165,4,3-5,Y,No,18,16-20%,3,2,80,0,8,7-9 years,5,3-5 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
59,>50 yrs old,No,Travel_Rarely,715,Research & Development,2,0-10KM,3,Life Sciences,1,1032,3,Female,69,RM61-RM90,2,4,Manufacturing Director,4,Single,13726,RM10001-RM15000,21829,3,3-5,Y,Yes,13,11-15%,3,1,80,0,30,>9 years,4,3-5 hours,3,5,4-6 years,3,0-3 years,4,4-6 years,3,0-3 years
37,31-40 yrs old,Yes,Travel_Rarely,1141,Research & Development,11,11-20KM,2,Medical,1,1033,1,Female,61,RM61-RM90,1,2,Healthcare Representative,2,Married,4777,RM0-RM5000,14382,5,3-5,Y,No,15,11-15%,3,1,80,0,15,>9 years,2,0-2 hours,1,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
55,>50 yrs old,No,Travel_Frequently,135,Research & Development,18,11-20KM,4,Medical,1,1034,3,Male,62,RM61-RM90,3,2,Healthcare Representative,2,Married,6385,RM5001-RM10000,12992,3,3-5,Y,Yes,14,11-15%,3,4,80,2,17,>9 years,3,3-5 hours,3,8,7-9 years,7,7-9 years,6,4-6 years,7,7-9 years
41,41-50 yrs old,No,Non-Travel,247,Research & Development,7,0-10KM,1,Life Sciences,1,1035,2,Female,55,RM31-RM60,1,5,Research Director,3,Divorced,19973,>RM15000,20284,1,0-2,Y,No,22,>20%,4,2,80,2,21,>9 years,3,3-5 hours,3,21,>9 years,16,>9 years,5,4-6 years,10,>9 years
38,31-40 yrs old,No,Travel_Rarely,1035,Sales,3,0-10KM,4,Life Sciences,1,1036,2,Male,42,RM31-RM60,3,2,Sales Executive,4,Single,6861,RM5001-RM10000,4981,8,>5,Y,Yes,12,11-15%,3,3,80,0,19,>9 years,1,0-2 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
26,21-30 yrs old,Yes,Non-Travel,265,Sales,29,>20KM,2,Medical,1,1037,2,Male,79,RM61-RM90,1,2,Sales Executive,1,Single,4969,RM0-RM5000,21813,8,>5,Y,No,18,16-20%,3,4,80,0,7,7-9 years,6,>5 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
52,>50 yrs old,Yes,Travel_Rarely,266,Sales,2,0-10KM,1,Marketing,1,1038,1,Female,57,RM31-RM60,1,5,Manager,4,Married,19845,>RM15000,25846,1,0-2,Y,No,15,11-15%,3,4,80,1,33,>9 years,3,3-5 hours,3,32,>9 years,14,>9 years,6,4-6 years,9,7-9 years
44,41-50 yrs old,No,Travel_Rarely,1448,Sales,28,>20KM,3,Medical,1,1039,4,Female,53,RM31-RM60,4,4,Sales Executive,4,Married,13320,RM10001-RM15000,11737,3,3-5,Y,Yes,18,16-20%,3,3,80,1,23,>9 years,2,0-2 hours,3,12,>9 years,11,>9 years,11,>9 years,11,>9 years
50,41-50 yrs old,No,Non-Travel,145,Sales,1,0-10KM,3,Life Sciences,1,1040,4,Female,95,>RM90,3,2,Sales Executive,3,Married,6347,RM5001-RM10000,24920,0,0-2,Y,No,12,11-15%,3,1,80,1,19,>9 years,3,3-5 hours,3,18,>9 years,7,7-9 years,0,0-3 years,13,>9 years
36,31-40 yrs old,Yes,Travel_Rarely,885,Research & Development,16,11-20KM,4,Life Sciences,1,1042,3,Female,43,RM31-RM60,4,1,Laboratory Technician,1,Single,2743,RM0-RM5000,8269,1,0-2,Y,No,16,16-20%,3,3,80,0,18,>9 years,1,0-2 hours,3,17,>9 years,13,>9 years,15,>9 years,14,>9 years
39,31-40 yrs old,No,Travel_Frequently,945,Research & Development,22,>20KM,3,Medical,1,1043,4,Female,82,RM61-RM90,3,3,Manufacturing Director,1,Single,10880,RM10001-RM15000,5083,1,0-2,Y,Yes,13,11-15%,3,3,80,0,21,>9 years,2,0-2 hours,3,21,>9 years,6,4-6 years,2,0-3 years,8,7-9 years
33,31-40 yrs old,No,Non-Travel,1038,Sales,8,0-10KM,1,Life Sciences,1,1044,2,Female,88,RM61-RM90,2,1,Sales Representative,4,Single,2342,RM0-RM5000,21437,0,0-2,Y,No,19,16-20%,3,4,80,0,3,0-3 years,2,0-2 hours,2,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
45,41-50 yrs old,No,Travel_Rarely,1234,Sales,11,11-20KM,2,Life Sciences,1,1045,4,Female,90,RM61-RM90,3,4,Manager,4,Married,17650,>RM15000,5404,3,3-5,Y,No,13,11-15%,3,2,80,1,26,>9 years,4,3-5 hours,4,9,7-9 years,3,0-3 years,1,0-3 years,1,0-3 years
32,31-40 yrs old,No,Non-Travel,1109,Research & Development,29,>20KM,4,Medical,1,1046,4,Female,69,RM61-RM90,3,1,Laboratory Technician,3,Single,4025,RM0-RM5000,11135,9,>5,Y,No,12,11-15%,3,2,80,0,10,>9 years,2,0-2 hours,3,8,7-9 years,7,7-9 years,7,7-9 years,7,7-9 years
34,31-40 yrs old,No,Travel_Rarely,216,Sales,1,0-10KM,4,Marketing,1,1047,2,Male,75,RM61-RM90,4,2,Sales Executive,4,Divorced,9725,RM5001-RM10000,12278,0,0-2,Y,No,11,11-15%,3,4,80,1,16,>9 years,2,0-2 hours,2,15,>9 years,1,0-3 years,0,0-3 years,9,7-9 years
59,>50 yrs old,No,Travel_Rarely,1089,Sales,1,0-10KM,2,Technical Degree,1,1048,2,Male,66,RM61-RM90,3,3,Manager,4,Married,11904,RM10001-RM15000,11038,3,3-5,Y,Yes,14,11-15%,3,3,80,1,14,>9 years,1,0-2 hours,1,6,4-6 years,4,4-6 years,0,0-3 years,4,4-6 years
45,41-50 yrs old,No,Travel_Rarely,788,Human Resources,24,>20KM,4,Medical,1,1049,2,Male,36,RM31-RM60,3,1,Human Resources,2,Single,2177,RM0-RM5000,8318,1,0-2,Y,No,16,16-20%,3,1,80,0,6,4-6 years,3,3-5 hours,3,6,4-6 years,3,0-3 years,0,0-3 years,4,4-6 years
53,>50 yrs old,No,Travel_Frequently,124,Sales,2,0-10KM,3,Marketing,1,1050,3,Female,38,RM31-RM60,2,3,Sales Executive,2,Married,7525,RM5001-RM10000,23537,2,0-2,Y,No,12,11-15%,3,1,80,1,30,>9 years,2,0-2 hours,3,15,>9 years,7,7-9 years,6,4-6 years,12,>9 years
36,31-40 yrs old,Yes,Travel_Rarely,660,Research & Development,15,11-20KM,3,Other,1,1052,1,Male,81,RM61-RM90,3,2,Laboratory Technician,3,Divorced,4834,RM0-RM5000,7858,7,>5,Y,No,14,11-15%,3,2,80,1,9,7-9 years,3,3-5 hours,2,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
26,21-30 yrs old,Yes,Travel_Frequently,342,Research & Development,2,0-10KM,3,Life Sciences,1,1053,1,Male,57,RM31-RM60,3,1,Research Scientist,1,Married,2042,RM0-RM5000,15346,6,>5,Y,Yes,14,11-15%,3,2,80,1,6,4-6 years,2,0-2 hours,3,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
34,31-40 yrs old,No,Travel_Rarely,1333,Sales,10,0-10KM,4,Life Sciences,1,1055,3,Female,87,RM61-RM90,3,1,Sales Representative,3,Married,2220,RM0-RM5000,18410,1,0-2,Y,Yes,19,16-20%,3,4,80,1,1,0-3 years,2,0-2 hours,3,1,0-3 years,1,0-3 years,0,0-3 years,0,0-3 years
28,21-30 yrs old,No,Travel_Rarely,1144,Sales,10,0-10KM,1,Medical,1,1056,4,Male,74,RM61-RM90,3,1,Sales Representative,2,Married,1052,RM0-RM5000,23384,1,0-2,Y,No,22,>20%,4,2,80,0,1,0-3 years,5,3-5 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
38,31-40 yrs old,No,Travel_Frequently,1186,Research & Development,3,0-10KM,4,Other,1,1060,3,Male,44,RM31-RM60,3,1,Research Scientist,3,Married,2821,RM0-RM5000,2997,3,3-5,Y,No,16,16-20%,3,1,80,1,8,7-9 years,2,0-2 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
50,41-50 yrs old,No,Travel_Rarely,1464,Research & Development,2,0-10KM,4,Medical,1,1061,2,Male,62,RM61-RM90,3,5,Research Director,3,Married,19237,>RM15000,12853,2,0-2,Y,Yes,11,11-15%,3,4,80,1,29,>9 years,2,0-2 hours,2,8,7-9 years,1,0-3 years,7,7-9 years,7,7-9 years
37,31-40 yrs old,No,Travel_Rarely,124,Research & Development,3,0-10KM,3,Other,1,1062,4,Female,35,RM31-RM60,3,2,Healthcare Representative,2,Single,4107,RM0-RM5000,13848,3,3-5,Y,No,15,11-15%,3,1,80,0,8,7-9 years,3,3-5 hours,2,4,4-6 years,3,0-3 years,0,0-3 years,1,0-3 years
40,31-40 yrs old,No,Travel_Rarely,300,Sales,26,>20KM,3,Marketing,1,1066,3,Male,74,RM61-RM90,3,2,Sales Executive,1,Married,8396,RM5001-RM10000,22217,1,0-2,Y,No,14,11-15%,3,2,80,1,8,7-9 years,3,3-5 hours,2,7,7-9 years,7,7-9 years,7,7-9 years,5,4-6 years
26,21-30 yrs old,No,Travel_Frequently,921,Research & Development,1,0-10KM,1,Medical,1,1068,1,Female,66,RM61-RM90,2,1,Research Scientist,3,Divorced,2007,RM0-RM5000,25265,1,0-2,Y,No,13,11-15%,3,3,80,2,5,4-6 years,5,3-5 hours,3,5,4-6 years,3,0-3 years,1,0-3 years,3,0-3 years
46,41-50 yrs old,No,Travel_Rarely,430,Research & Development,1,0-10KM,4,Medical,1,1069,4,Male,40,RM31-RM60,3,5,Research Director,4,Divorced,19627,>RM15000,21445,9,>5,Y,No,17,16-20%,3,4,80,2,23,>9 years,0,0-2 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
